ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300779.SZ,20190626,44.25,46.55,43.3,44.95,46.7,-1.75,-3.7473,104813.44,471517.974
300779.SZ,20190627,45.14,47.6,44.58,47.31,44.95,2.36,5.2503,113127.36,521689.482
300779.SZ,20190628,46.44,52.04,46.42,52.04,47.31,4.73,9.9979,166897.27,833712.5
300779.SZ,20190701,53.02,57.24,52.04,57.24,52.04,5.2,9.9923,127187.37,709641.042
300779.SZ,20190702,56.8,56.8,51.52,51.52,57.24,-5.72,-9.993,132694.92,696319.048
300779.SZ,20190703,47.97,49.63,46.37,46.69,51.52,-4.83,-9.375,116396.33,553758.615
300779.SZ,20190704,46.98,48.4,45.55,47.48,46.69,0.79,1.692,86288.85,407915.392
300779.SZ,20190705,47.44,47.47,44.81,45.1,47.48,-2.38,-5.0126,77743.16,357251.259
300779.SZ,20190708,44.4,44.7,42.01,42.4,45.1,-2.7,-5.9867,64525.26,280318.457
300779.SZ,20190709,42.39,43.48,41.5,42.62,42.4,0.22,0.5189,51372.38,218613.899
300779.SZ,20190710,41.98,43.57,41.88,43.0,42.62,0.38,0.8916,45436.85,193824.11
300779.SZ,20190711,43.33,43.34,39.7,40.51,43.0,-2.49,-5.7907,68032.52,281330.038
300779.SZ,20190712,40.5,40.9,38.8,39.29,40.51,-1.22,-3.0116,50953.04,201191.052
300779.SZ,20190715,39.28,40.5,38.3,40.31,39.29,1.02,2.5961,44704.44,176725.91
300779.SZ,20190716,40.0,42.0,39.68,41.69,40.31,1.38,3.4235,56081.7,231587.027
300779.SZ,20190717,41.81,41.88,39.89,39.89,41.69,-1.8,-4.3176,48379.66,195594.064
300779.SZ,20190718,39.11,41.05,38.8,39.88,39.89,-0.01,-0.0251,41107.97,165118.184
300779.SZ,20190719,39.02,40.6,38.8,38.86,39.88,-1.02,-2.5577,38632.12,152516.237
300779.SZ,20190722,38.91,39.1,34.97,34.97,38.86,-3.89,-10.0103,50045.71,179066.619
300779.SZ,20190723,34.84,35.24,34.23,35.01,34.97,0.04,0.1144,28826.09,100292.025
300779.SZ,20190724,35.01,36.28,34.98,35.76,35.01,0.75,2.1422,36895.09,132111.05
300779.SZ,20190725,35.89,36.78,35.5,36.09,35.76,0.33,0.9228,37014.17,133864.429
300779.SZ,20190726,35.53,36.49,35.51,35.66,36.09,-0.43,-1.1915,27381.96,98270.154
300779.SZ,20190729,35.7,35.95,34.61,34.96,35.66,-0.7,-1.963,26193.15,91842.336
300779.SZ,20190730,34.94,35.9,34.85,35.53,34.96,0.57,1.6304,27989.08,99514.4
300779.SZ,20190731,35.05,35.88,34.85,35.09,35.53,-0.44,-1.2384,25199.01,88847.499
300779.SZ,20190801,35.27,35.28,34.56,34.85,35.09,-0.24,-0.684,22732.78,79253.155
300779.SZ,20190802,35.59,37.57,35.59,36.79,34.85,1.94,5.5667,75059.44,273680.206
300779.SZ,20190805,36.31,37.98,36.26,37.66,36.79,0.87,2.3648,70986.44,264641.532
300779.SZ,20190806,36.7,41.16,36.22,40.05,37.66,2.39,6.3463,96332.18,377697.546
300779.SZ,20190807,39.3,40.63,37.89,39.46,40.05,-0.59,-1.4732,73577.13,288692.365
300779.SZ,20190808,38.76,39.34,37.15,37.15,39.46,-2.31,-5.854,54016.72,205250.469
300779.SZ,20190809,36.9,39.89,36.9,38.51,37.15,1.36,3.6608,73490.27,284168.772
300779.SZ,20190812,37.74,38.34,35.69,37.15,38.51,-1.36,-3.5316,57111.57,209437.493
300779.SZ,20190813,36.04,37.29,36.04,36.2,37.15,-0.95,-2.5572,34095.25,124357.008
300779.SZ,20190814,36.0,36.49,35.2,35.36,36.2,-0.84,-2.3204,46977.75,167751.176
300779.SZ,20190815,34.0,34.55,33.3,34.34,35.36,-1.02,-2.8846,40619.21,137933.809
300779.SZ,20190816,34.71,35.56,34.71,34.95,34.34,0.61,1.7764,36776.99,129454.789
300779.SZ,20190819,34.59,35.69,34.35,35.62,34.95,0.67,1.917,37958.99,133377.871
300779.SZ,20190820,35.16,36.41,35.16,35.97,35.62,0.35,0.9826,40974.77,146669.051
300779.SZ,20190821,35.8,35.95,35.22,35.82,35.97,-0.15,-0.417,30847.14,109661.334
300779.SZ,20190822,35.74,36.72,35.68,36.49,35.82,0.67,1.8705,37261.5,135189.381
300779.SZ,20190823,36.23,38.02,35.92,37.99,36.49,1.5,4.1107,68659.07,256094.401
300779.SZ,20190826,37.54,39.18,36.6,36.62,37.99,-1.37,-3.6062,51458.81,192815.845
300779.SZ,20190827,36.48,37.28,35.57,37.13,36.62,0.51,1.3927,43809.45,159649.588
300779.SZ,20190828,36.5,37.81,36.49,37.77,36.93,0.84,2.2746,49277.18,183081.244
300779.SZ,20190829,37.84,37.99,36.4,36.42,37.77,-1.35,-3.5743,42016.26,156156.656
300779.SZ,20190830,36.6,36.61,34.85,35.29,36.42,-1.13,-3.1027,44856.35,159646.362
300779.SZ,20190902,34.99,35.59,34.8,35.5,35.29,0.21,0.5951,22809.04,80482.094
300779.SZ,20190903,35.51,35.96,35.22,35.72,35.5,0.22,0.6197,23181.36,82596.572
300779.SZ,20190904,35.4,35.87,35.3,35.6,35.72,-0.12,-0.3359,21669.55,77030.579
300779.SZ,20190905,35.67,36.5,35.45,36.03,35.6,0.43,1.2079,34692.89,124993.664
300779.SZ,20190906,36.33,37.7,35.81,37.46,36.03,1.43,3.9689,56122.52,206433.857
300779.SZ,20190909,37.7,37.7,36.66,37.34,37.46,-0.12,-0.3203,42580.17,157864.683
300779.SZ,20190910,37.37,38.08,36.88,37.57,37.34,0.23,0.616,42460.54,159644.524
300779.SZ,20190911,37.59,37.88,36.82,36.96,37.57,-0.61,-1.6236,36806.27,136880.51
300779.SZ,20190912,37.02,37.2,36.7,37.11,36.96,0.15,0.4058,22357.38,82730.921
300779.SZ,20190916,37.19,38.0,37.02,37.83,37.11,0.72,1.9402,42377.57,159518.25
300779.SZ,20190917,37.75,38.86,36.96,37.3,37.83,-0.53,-1.401,45489.84,172699.207
300779.SZ,20190918,37.28,37.98,36.03,37.75,37.3,0.45,1.2064,42429.63,157085.141
300779.SZ,20190919,37.4,38.45,37.4,38.0,37.75,0.25,0.6623,40119.43,152278.904
300779.SZ,20190920,38.17,39.79,38.02,39.48,38.0,1.48,3.8947,73223.16,285947.194
300779.SZ,20190923,38.88,38.9,37.16,37.57,39.48,-1.91,-4.8379,44460.0,168491.496
300779.SZ,20190924,37.66,37.85,37.3,37.35,37.57,-0.22,-0.5856,25932.74,97249.144
300779.SZ,20190925,37.01,37.24,35.2,35.2,37.35,-2.15,-5.7564,37974.34,136120.671
300779.SZ,20190926,35.23,35.6,33.39,33.65,35.2,-1.55,-4.4034,27652.59,94631.664
300779.SZ,20190927,33.75,34.29,33.7,33.95,33.65,0.3,0.8915,18046.58,61191.002
300779.SZ,20190930,33.96,34.16,33.18,33.19,33.95,-0.76,-2.2386,13808.0,46303.855
300779.SZ,20191008,33.49,33.88,33.22,33.88,33.19,0.69,2.0789,13386.08,44959.321
300779.SZ,20191009,33.79,33.79,30.49,33.34,33.88,-0.54,-1.5939,13797.72,45581.086
300779.SZ,20191010,33.0,33.59,32.75,33.54,33.34,0.2,0.5999,10846.57,36270.207
300779.SZ,20191011,33.64,33.65,32.52,32.84,33.54,-0.7,-2.0871,13673.36,45219.535
300779.SZ,20191014,32.95,33.3,32.94,33.09,32.84,0.25,0.7613,12697.18,42099.431
300779.SZ,20191015,32.92,33.06,31.58,31.63,33.09,-1.46,-4.4122,20167.11,64486.879
300779.SZ,20191016,31.81,32.68,31.68,32.25,31.63,0.62,1.9602,17163.08,55372.707
300779.SZ,20191017,32.25,32.43,31.8,32.08,32.25,-0.17,-0.5271,12737.57,40977.505
300779.SZ,20191018,32.29,32.79,31.88,32.35,32.08,0.27,0.8416,16845.17,54453.966
300779.SZ,20191021,32.44,32.44,30.19,30.7,32.35,-1.65,-5.1005,18316.21,56666.154
300779.SZ,20191022,30.7,31.06,30.68,30.96,30.7,0.26,0.8469,9851.24,30419.949
300779.SZ,20191023,30.96,31.26,30.7,30.83,30.96,-0.13,-0.4199,7677.54,23740.497
300779.SZ,20191024,30.73,30.98,30.33,30.39,30.83,-0.44,-1.4272,8090.5,24757.74
300779.SZ,20191025,30.48,30.55,29.0,30.0,30.39,-0.39,-1.2833,14226.36,42449.737
300779.SZ,20191028,30.78,30.78,30.0,30.21,30.0,0.21,0.7,10517.41,31803.152
300779.SZ,20191029,30.33,30.35,29.2,29.2,30.21,-1.01,-3.3433,14558.83,43081.969
300779.SZ,20191030,29.2,29.25,27.9,27.97,29.2,-1.23,-4.2123,16928.37,48078.578
300779.SZ,20191031,28.15,28.36,27.48,27.57,27.97,-0.4,-1.4301,11431.0,31912.682
300779.SZ,20191101,27.35,28.26,27.2,28.08,27.57,0.51,1.8498,9693.52,27075.312
300779.SZ,20191104,28.23,28.29,27.89,27.95,28.08,-0.13,-0.463,7621.52,21372.469
300779.SZ,20191105,27.99,28.14,27.8,28.03,27.95,0.08,0.2862,6507.0,18226.86
300779.SZ,20191106,28.13,28.46,27.95,28.14,28.03,0.11,0.3924,12503.79,35279.964
300779.SZ,20191107,28.13,28.23,27.7,27.95,28.14,-0.19,-0.6752,9993.0,27897.859
300779.SZ,20191108,28.1,28.6,27.92,28.46,27.95,0.51,1.8247,15960.58,45085.246
300779.SZ,20191111,28.42,28.44,26.88,27.05,28.46,-1.41,-4.9543,16383.92,45058.243
300779.SZ,20191112,27.07,27.45,26.93,27.45,27.05,0.4,1.4787,9838.34,26773.802
300779.SZ,20191113,27.5,28.26,27.3,28.02,27.45,0.57,2.0765,15389.81,42947.908
300779.SZ,20191114,28.02,28.15,27.56,28.02,28.02,0.0,0.0,11445.58,31903.219
300779.SZ,20191115,28.05,30.24,28.05,28.86,28.02,0.84,2.9979,31822.79,92492.239
300779.SZ,20191118,28.66,29.35,28.31,29.05,28.86,0.19,0.6584,19144.5,55308.453
300779.SZ,20191119,29.07,29.35,28.73,29.06,29.05,0.01,0.0344,19053.86,55289.051
300779.SZ,20191120,29.13,30.38,28.39,30.14,29.06,1.08,3.7164,37474.51,110058.004
300779.SZ,20191121,29.49,29.7,28.86,28.98,30.14,-1.16,-3.8487,22431.05,65543.441
300779.SZ,20191122,28.85,29.29,28.32,28.34,28.98,-0.64,-2.2084,17056.79,49072.065
300779.SZ,20191125,27.98,28.26,27.04,27.15,28.34,-1.19,-4.199,13314.59,36477.184
300779.SZ,20191126,27.2,27.39,27.03,27.15,27.15,0.0,0.0,7057.84,19183.673
300779.SZ,20191127,27.01,27.15,26.41,26.54,27.15,-0.61,-2.2468,10513.55,28063.228
300779.SZ,20191128,26.88,26.97,26.5,26.59,26.54,0.05,0.1884,6023.0,16095.509
300779.SZ,20191129,26.34,26.81,26.34,26.65,26.59,0.06,0.2256,7837.87,20835.683
300779.SZ,20191202,26.7,26.8,26.35,26.55,26.65,-0.1,-0.3752,6082.63,16158.868
300779.SZ,20191203,26.33,26.79,26.26,26.7,26.55,0.15,0.565,8092.8,21493.154
300779.SZ,20191204,26.41,27.55,26.41,27.18,26.7,0.48,1.7978,15803.57,42711.843
300779.SZ,20191205,26.9,27.32,26.86,27.21,27.18,0.03,0.1104,12223.41,33122.0
300779.SZ,20191206,27.26,27.46,27.12,27.26,27.21,0.05,0.1838,9302.6,25406.644
300779.SZ,20191209,27.4,27.6,27.14,27.45,27.26,0.19,0.697,8619.79,23592.678
300779.SZ,20191210,27.31,27.65,27.22,27.49,27.45,0.04,0.1457,8952.37,24599.345
300779.SZ,20191211,27.49,27.6,27.08,27.17,27.49,-0.32,-1.1641,8347.0,22736.925
300779.SZ,20191212,27.2,27.45,27.0,27.0,27.17,-0.17,-0.6257,7725.79,20993.324
300779.SZ,20191213,27.36,27.63,27.15,27.51,27.0,0.51,1.8889,12730.79,34920.874
300779.SZ,20191216,27.68,28.12,27.42,28.0,27.51,0.49,1.7812,12002.89,33476.406
300779.SZ,20191217,28.0,28.33,27.8,28.15,28.0,0.15,0.5357,15115.0,42445.946
300779.SZ,20191218,28.25,28.53,28.03,28.17,28.15,0.02,0.071,13487.81,38064.075
300779.SZ,20191219,28.04,28.31,27.94,28.12,28.17,-0.05,-0.1775,10399.37,29214.636
300779.SZ,20191220,28.25,28.7,27.8,27.81,28.12,-0.31,-1.1024,15600.79,44162.548
300779.SZ,20191223,27.77,27.77,27.01,27.03,27.81,-0.78,-2.8047,10705.0,29301.397
300779.SZ,20191224,27.34,27.5,26.89,27.2,27.03,0.17,0.6289,9297.79,25227.689
300779.SZ,20191225,27.17,27.37,26.88,27.01,27.2,-0.19,-0.6985,8904.58,24121.318
300779.SZ,20191226,27.15,29.71,26.89,28.88,27.01,1.87,6.9234,47629.71,135878.702
300779.SZ,20191227,28.4,30.86,28.32,30.64,28.88,1.76,6.0942,67384.64,201106.04
300779.SZ,20191230,30.21,30.53,29.35,30.24,30.64,-0.4,-1.3055,33313.85,99897.828
300779.SZ,20191231,30.11,31.8,29.86,31.46,30.24,1.22,4.0344,40013.92,123679.581
300779.SZ,20200102,32.28,34.61,30.83,31.22,31.46,-0.24,-0.7629,50087.73,159670.383
300779.SZ,20200103,30.62,31.09,30.21,30.23,31.22,-0.99,-3.171,32419.89,98790.755
300779.SZ,20200106,29.79,30.77,29.46,30.72,30.23,0.49,1.6209,25315.79,76758.171
300779.SZ,20200107,30.66,30.85,30.02,30.47,30.72,-0.25,-0.8138,22940.05,69911.894
300779.SZ,20200108,30.36,31.78,30.15,30.96,30.47,0.49,1.6081,34828.73,108572.404
300779.SZ,20200109,31.1,32.49,30.67,32.39,30.96,1.43,4.6189,40645.23,128887.218
300779.SZ,20200110,32.79,33.7,32.05,33.22,32.39,0.83,2.5625,40584.09,134299.984
300779.SZ,20200113,33.01,36.54,32.01,34.8,33.22,1.58,4.7562,76337.41,266014.895
300779.SZ,20200114,34.35,35.81,33.53,34.51,34.8,-0.29,-0.8333,43713.41,150423.609
300779.SZ,20200115,34.09,36.16,33.94,35.52,34.51,1.01,2.9267,53804.67,190593.043
300779.SZ,20200116,35.4,38.94,32.95,34.12,35.52,-1.4,-3.9414,58515.79,204011.0
300779.SZ,20200117,34.19,34.58,33.13,33.85,34.12,-0.27,-0.7913,33447.0,113459.888
300779.SZ,20200120,34.0,35.58,33.91,34.97,33.85,1.12,3.3087,35698.63,124012.724
300779.SZ,20200121,34.99,35.6,34.56,34.96,34.97,-0.01,-0.0286,25052.63,87352.673
300779.SZ,20200122,34.83,34.83,33.38,33.68,34.96,-1.28,-3.6613,27374.75,92824.599
300779.SZ,20200123,33.75,33.88,32.82,33.88,33.68,0.2,0.5938,21054.57,70509.521
300779.SZ,20200203,33.0,33.0,30.49,30.51,33.88,-3.37,-9.9469,25549.47,79741.569
300779.SZ,20200204,27.46,28.46,27.46,28.0,30.51,-2.51,-8.2268,97411.21,268038.606
300779.SZ,20200205,27.22,28.3,27.22,27.54,28.0,-0.46,-1.6429,56180.12,155263.318
300779.SZ,20200206,27.57,28.01,26.97,27.87,27.54,0.33,1.1983,47119.43,129328.009
300779.SZ,20200207,27.66,29.88,27.55,29.45,27.87,1.58,5.6692,52623.07,149438.436
300779.SZ,20200210,29.0,29.32,28.46,28.99,29.45,-0.46,-1.562,38480.11,111159.61
300779.SZ,20200211,28.98,28.98,28.08,28.1,28.99,-0.89,-3.07,26481.03,75203.264
300779.SZ,20200212,28.0,28.47,27.75,28.31,28.1,0.21,0.7473,19342.79,54710.229
300779.SZ,20200213,28.31,28.95,27.81,28.6,28.31,0.29,1.0244,31471.08,89370.32
300779.SZ,20200214,28.45,28.45,28.02,28.06,28.6,-0.54,-1.8881,24511.5,69019.728
300779.SZ,20200217,28.22,28.9,28.06,28.7,28.06,0.64,2.2808,25379.39,72538.2
300779.SZ,20200218,28.76,30.23,28.66,29.89,28.7,1.19,4.1463,41298.36,122002.102
300779.SZ,20200219,29.35,29.9,28.9,29.0,29.89,-0.89,-2.9776,33974.22,99479.029
300779.SZ,20200220,29.07,29.65,28.91,29.6,29.0,0.6,2.069,28818.34,84453.424
300779.SZ,20200221,29.57,30.05,29.32,29.46,29.6,-0.14,-0.473,29628.35,87714.792
300779.SZ,20200224,29.5,29.57,28.79,29.19,29.46,-0.27,-0.9165,25940.79,75511.735
300779.SZ,20200225,28.48,28.5,26.88,28.12,29.19,-1.07,-3.6656,36131.16,101051.337
300779.SZ,20200226,27.64,28.45,27.59,27.92,28.12,-0.2,-0.7112,20747.14,58038.705
300779.SZ,20200227,27.92,28.4,27.91,28.03,27.92,0.11,0.394,16883.0,47548.857
300779.SZ,20200228,27.11,27.58,26.33,26.33,28.03,-1.7,-6.0649,21722.55,58539.088
300779.SZ,20200302,26.5,27.29,26.4,27.07,26.33,0.74,2.8105,13658.3,36818.668
300779.SZ,20200303,27.33,27.87,27.3,27.33,27.07,0.26,0.9605,18882.01,51933.03
300779.SZ,20200304,27.28,28.04,27.2,27.76,27.33,0.43,1.5734,19093.08,52891.942
300779.SZ,20200305,27.84,28.27,27.65,28.11,27.76,0.35,1.2608,20417.0,57120.43
300779.SZ,20200306,27.9,28.55,27.71,28.28,28.11,0.17,0.6048,21794.58,61659.066
300779.SZ,20200309,28.0,28.0,26.92,26.98,28.28,-1.3,-4.5969,17434.55,47599.345
300779.SZ,20200310,26.25,27.4,26.25,27.4,26.98,0.42,1.5567,14548.77,39028.936
300779.SZ,20200311,27.49,27.77,27.04,27.25,27.4,-0.15,-0.5474,13142.01,36123.136
300779.SZ,20200312,26.99,27.09,26.41,26.56,27.25,-0.69,-2.5321,11086.24,29570.921
300779.SZ,20200313,25.45,25.45,24.21,25.02,26.56,-1.54,-5.7982,21922.55,54777.742
300779.SZ,20200316,25.18,25.28,23.5,23.55,25.02,-1.47,-5.8753,16558.0,40523.225
300779.SZ,20200317,23.66,24.0,21.76,22.81,23.55,-0.74,-3.1423,15926.13,36177.118
300779.SZ,20200318,23.06,23.37,22.3,22.36,22.81,-0.45,-1.9728,11206.0,25777.884
300779.SZ,20200319,22.34,22.7,21.84,22.61,22.36,0.25,1.1181,8626.0,19254.701
300779.SZ,20200320,23.0,23.0,22.53,22.93,22.61,0.32,1.4153,6761.0,15380.679
300779.SZ,20200323,22.3,22.4,21.6,21.79,22.93,-1.14,-4.9717,10201.0,22485.27
300779.SZ,20200324,22.3,22.43,21.51,22.19,21.79,0.4,1.8357,7326.37,16102.766
300779.SZ,20200325,22.5,22.98,22.23,22.84,22.19,0.65,2.9292,9556.37,21718.035
300779.SZ,20200326,22.75,23.94,22.5,23.28,22.84,0.44,1.9264,12252.0,28456.032
300779.SZ,20200327,23.2,23.65,22.88,23.0,23.28,-0.28,-1.2027,8971.79,20897.685
300779.SZ,20200330,22.3,22.94,21.9,22.17,23.0,-0.83,-3.6087,7841.16,17407.866
300779.SZ,20200331,22.49,22.79,22.07,22.39,22.17,0.22,0.9923,7167.79,16089.587
300779.SZ,20200401,22.2,22.65,22.1,22.15,22.39,-0.24,-1.0719,5563.57,12450.501
300779.SZ,20200402,21.92,22.65,21.92,22.64,22.15,0.49,2.2122,6518.0,14571.878
300779.SZ,20200403,22.64,23.37,22.58,22.65,22.64,0.01,0.0442,8810.0,20177.149
300779.SZ,20200407,23.0,23.37,22.9,23.2,22.65,0.55,2.4283,8613.0,19988.189
300779.SZ,20200408,23.2,23.58,23.13,23.49,23.2,0.29,1.25,7760.2,18194.874
300779.SZ,20200409,23.5,23.74,23.41,23.45,23.49,-0.04,-0.1703,6480.0,15248.698
300779.SZ,20200410,23.45,23.59,22.6,22.67,23.45,-0.78,-3.3262,8815.8,20196.77
300779.SZ,20200413,22.71,22.8,22.02,22.21,22.67,-0.46,-2.0291,5836.0,12937.206
