ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,yield
002961.SZ,20191029,34.98,35.94,32.19,32.3,35.77,-3.47,-9.7009,179038.1,616970.187,0.0
002961.SZ,20191030,31.18,31.6,29.5,30.09,32.3,-2.21,-6.8421,153539.06,465066.745,0.11
002961.SZ,20191031,30.0,30.8,29.68,30.38,30.09,0.29,0.9638,104369.54,316715.031,0.09
002961.SZ,20191101,30.0,30.48,28.25,29.86,30.38,-0.52,-1.7117,119055.26,348923.916,0.13
002961.SZ,20191104,29.49,29.75,28.88,29.17,29.86,-0.69,-2.3108,95737.2,280277.947,0.23
002961.SZ,20191105,29.37,31.71,29.21,30.97,29.17,1.8,6.1707,154872.85,471632.777,0.19
002961.SZ,20191106,30.62,30.74,28.68,29.06,30.97,-1.91,-6.1673,112363.89,335432.034,0.26
002961.SZ,20191107,28.36,29.24,28.03,28.53,29.06,-0.53,-1.8238,89956.31,256670.419,0.41
002961.SZ,20191108,29.3,31.38,29.3,31.38,28.53,2.85,9.9895,107708.83,331555.321,0.27
002961.SZ,20191111,32.44,33.8,31.36,32.64,31.38,1.26,4.0153,236832.43,776145.15,0.22
002961.SZ,20191112,32.44,32.63,30.5,31.93,32.64,-0.71,-2.1752,152241.68,480599.862,0.28
002961.SZ,20191113,31.77,33.46,31.45,33.03,31.93,1.1,3.445,176785.13,580341.5210000001,0.19
002961.SZ,20191114,32.24,34.5,31.44,33.89,33.03,0.86,2.6037,169584.91,555296.501,0.13
002961.SZ,20191115,33.19,33.78,31.38,31.71,33.89,-2.18,-6.4326,140776.79,461523.636,0.26
002961.SZ,20191118,31.46,34.88,31.42,34.88,31.71,3.17,9.9968,196219.07,671790.122,0.18
002961.SZ,20191119,36.44,38.37,34.3,38.37,34.88,3.49,10.0057,202527.32,737360.8790000001,0.07
002961.SZ,20191120,38.5,38.88,35.05,35.52,38.37,-2.85,-7.4277,237143.05,869044.1359999999,0.15
002961.SZ,20191121,34.77,39.07,34.5,38.01,35.52,2.49,7.0101,239260.63,877717.44,0.05
002961.SZ,20191122,37.08,39.28,36.0,36.15,38.01,-1.86,-4.8934,229925.81,869688.084,0.07
002961.SZ,20191125,36.18,36.57,32.54,32.54,36.15,-3.61,-9.9862,170544.63,569061.72,0.13
002961.SZ,20191126,32.66,33.36,30.8,32.36,32.54,-0.18,-0.5532,125745.6,406405.724,0.15
002961.SZ,20191127,31.7,35.2,31.51,33.51,32.36,1.15,3.5538,161793.56,542446.417,0.11
002961.SZ,20191128,33.14,34.16,32.61,33.25,33.51,-0.26,-0.7759,105227.52,349720.037,0.17
002961.SZ,20191129,33.06,35.84,33.01,33.65,33.25,0.4,1.203,163806.49,562741.212,0.1
002961.SZ,20191202,33.94,36.58,33.6,35.81,33.65,2.16,6.419,177013.31,628816.944,0.02
002961.SZ,20191203,34.6,36.8,34.38,36.75,35.81,0.94,2.625,155444.47,551071.611,-0.0
002961.SZ,20191204,36.27,37.37,36.11,36.5,36.75,-0.25,-0.6803,150865.46,551781.451,0.01
002961.SZ,20191205,36.87,40.15,35.83,40.15,36.5,3.65,10.0,263096.69,1004482.2259999999,-0.1
002961.SZ,20191206,39.48,40.28,38.8,39.81,40.15,-0.34,-0.8468,202174.62,801284.1059999999,-0.1
002961.SZ,20191209,40.4,41.8,39.2,39.97,39.81,0.16,0.4019,207146.07,840467.975,-0.07
002961.SZ,20191210,39.08,41.45,37.82,40.81,39.97,0.84,2.1016,184488.74,730387.5140000001,-0.14
002961.SZ,20191211,39.91,42.31,39.12,39.21,40.81,-1.6,-3.9206,177159.88,719528.52,-0.09
002961.SZ,20191212,38.56,39.5,38.11,38.21,39.21,-1.0,-2.5504,123221.43,476435.98799999995,-0.05
002961.SZ,20191213,39.73,41.2,39.1,39.89,38.21,1.68,4.3968,185636.62,743151.7170000001,-0.09
002961.SZ,20191216,39.11,41.97,39.11,41.28,39.89,1.39,3.4846,171005.78,695608.2840000001,-0.06
002961.SZ,20191217,41.68,44.5,39.6,41.15,41.28,-0.13,-0.3149,211819.96,885577.372,-0.05
002961.SZ,20191218,40.64,41.66,40.4,40.86,41.15,-0.29,-0.7047,133664.74,547871.57,-0.07
002961.SZ,20191219,40.0,41.68,39.75,40.1,40.86,-0.76,-1.86,113423.57,461077.321,-0.08
002961.SZ,20191220,39.98,40.97,38.4,38.51,40.1,-1.59,-3.9651,118336.8,469049.391,-0.04
002961.SZ,20191223,38.16,38.2,36.0,36.61,38.51,-1.9,-4.9338,85420.45,315360.719,-0.04
002961.SZ,20191224,37.15,37.49,36.5,37.33,36.61,0.72,1.9667,63140.04,233642.962,-0.05
002961.SZ,20191225,37.08,37.7,36.88,37.25,37.33,-0.08,-0.2143,59950.77,223529.527,-0.11
002961.SZ,20191226,37.01,38.91,36.95,38.74,37.25,1.49,4.0,108227.82,412836.255,-0.23
002961.SZ,20191227,38.4,38.98,37.0,37.07,38.74,-1.67,-4.3108,99404.96,378804.843,-0.24
002961.SZ,20191230,36.02,37.56,33.91,36.62,37.07,-0.45,-1.2139,79485.79,286218.439,-0.2
002961.SZ,20191231,36.13,37.3,36.13,36.69,36.62,0.07,0.1912,47652.42,175389.418,-0.18
002961.SZ,20200102,37.08,37.43,36.65,36.78,36.69,0.09,0.2453,59391.31,219556.90899999999,-0.18
002961.SZ,20200103,36.69,37.0,36.1,36.33,36.78,-0.45,-1.2235,53804.66,196363.579,-0.14
002961.SZ,20200106,35.7,36.45,35.0,36.02,36.33,-0.31,-0.8533,52026.15,186559.41,-0.13
002961.SZ,20200107,36.02,37.18,36.02,37.0,36.02,0.98,2.7207,73397.57,269982.74100000004,-0.15
002961.SZ,20200108,37.2,37.2,35.01,35.3,37.0,-1.7,-4.5946,73536.84,264251.825,-0.13
002961.SZ,20200109,35.9,36.1,35.33,35.8,35.3,0.5,1.4164,44489.33,158679.992,-0.12
002961.SZ,20200110,35.72,36.25,35.37,36.12,35.8,0.32,0.8939,49986.95,179494.725,-0.09
002961.SZ,20200113,35.85,36.58,35.15,36.49,36.12,0.37,1.0244,52081.5,186478.788,-0.09
002961.SZ,20200114,36.53,39.63,36.31,38.61,36.49,2.12,5.8098,139645.79,530131.8470000001,-0.05
002961.SZ,20200115,38.3,38.98,37.56,38.97,38.61,0.36,0.9324,103940.48,400076.364,-0.0
002961.SZ,20200116,39.1,39.1,37.8,38.16,38.97,-0.81,-2.0785,69828.71,267330.682,-0.02
002961.SZ,20200117,38.01,38.98,36.8,36.95,38.16,-1.21,-3.1709,68651.26,259021.83399999997,0.0
002961.SZ,20200120,36.57,36.88,35.55,36.78,36.95,-0.17,-0.4601,48790.2,176958.725,-0.03
002961.SZ,20200121,36.77,36.77,35.2,35.28,36.78,-1.5,-4.0783,44324.0,159223.218,0.02
002961.SZ,20200122,34.71,35.79,34.24,35.28,35.28,0.0,0.0,42907.26,149680.641,-0.0
002961.SZ,20200123,34.81,35.86,32.6,33.17,35.28,-2.11,-5.9807,51403.85,176639.021,-0.04
002961.SZ,20200203,29.85,29.85,29.85,29.85,33.17,-3.32,-10.009,3299.0,9847.515,0.12
002961.SZ,20200204,26.87,29.38,26.87,28.0,29.85,-1.85,-6.1977,81194.22,228980.465,0.2
002961.SZ,20200205,28.13,30.5,28.13,29.37,28.0,1.37,4.8929,66336.56,194121.30399999997,0.17
002961.SZ,20200206,29.0,30.85,28.78,30.24,29.37,0.87,2.9622,66151.67,197568.895,0.22
002961.SZ,20200207,29.8,30.49,29.65,30.13,30.24,-0.11,-0.3638,51080.65,153533.81900000002,0.16
002961.SZ,20200210,29.93,31.2,29.8,31.07,30.13,0.94,3.1198,48107.95,147716.065,0.06
002961.SZ,20200211,31.07,32.74,31.0,31.2,31.07,0.13,0.4184,71819.57,228695.883,0.1
002961.SZ,20200212,30.5,31.69,29.0,31.43,31.2,0.23,0.7372,53763.83,166491.737,0.05
002961.SZ,20200213,31.02,31.7,30.58,30.6,31.43,-0.83,-2.6408,42520.0,131769.362,0.07
002961.SZ,20200214,30.44,32.5,30.44,31.57,30.6,0.97,3.1699,70296.2,222146.36899999998,0.02
002961.SZ,20200217,32.1,33.09,31.63,32.85,31.57,1.28,4.0545,87300.41,282740.016,-0.11
002961.SZ,20200218,32.7,33.5,31.88,33.31,32.85,0.46,1.4003,81389.71,264835.73600000003,-0.13
002961.SZ,20200219,33.6,36.64,33.6,36.64,33.31,3.33,9.997,175301.08,634360.254,-0.23
002961.SZ,20200220,36.34,40.0,35.4,38.88,36.64,2.24,6.1135,237794.92,887585.677,-0.25
002961.SZ,20200221,38.0,40.0,36.52,37.35,38.88,-1.53,-3.9352,190363.18,719111.962,-0.22
002961.SZ,20200224,37.3,37.99,36.42,37.09,37.35,-0.26,-0.6961,111362.13,414346.477,-0.26
002961.SZ,20200225,35.15,36.86,34.22,35.75,37.09,-1.34,-3.6128,95185.29,338940.607,-0.21
002961.SZ,20200226,35.2,37.06,35.15,35.82,35.75,0.07,0.1958,78977.9,287375.213,-0.18
002961.SZ,20200227,36.0,36.65,34.94,35.22,35.82,-0.6,-1.675,59751.35,213761.391,-0.19
002961.SZ,20200228,32.91,33.7,31.7,31.7,35.22,-3.52,-9.9943,77124.79,251082.27399999998,-0.1
002961.SZ,20200302,32.3,34.16,31.9,33.5,31.7,1.8,5.6782,56272.1,185631.41199999998,-0.16
002961.SZ,20200303,33.98,34.62,33.28,33.62,33.5,0.12,0.3582,51439.27,175090.71600000001,-0.17
002961.SZ,20200304,33.17,34.3,33.1,34.27,33.62,0.65,1.9334,46211.25,156482.25699999998,-0.19
002961.SZ,20200305,35.0,37.59,33.97,36.81,34.27,2.54,7.4117,128479.4,460715.865,-0.22
002961.SZ,20200306,35.72,35.85,34.68,34.84,36.81,-1.97,-5.3518,74342.95,261402.473,-0.19
002961.SZ,20200309,33.69,34.37,32.54,32.8,34.84,-2.04,-5.8553,50476.27,168671.407,-0.12
002961.SZ,20200310,32.1,34.81,32.1,34.22,32.8,1.42,4.3293,54661.22,183869.176,-0.15
002961.SZ,20200311,34.22,34.46,33.02,33.12,34.22,-1.1,-3.2145,36901.0,124144.535,-0.06
002961.SZ,20200312,32.48,33.5,32.09,32.85,33.12,-0.27,-0.8152,33332.0,109168.509,-0.11
002961.SZ,20200313,31.0,32.79,30.65,32.14,32.85,-0.71,-2.1613,45290.95,142967.209,-0.11
002961.SZ,20200316,32.28,32.45,29.0,29.2,32.14,-2.94,-9.1475,48875.95,149795.271,-0.0
002961.SZ,20200317,29.2,30.3,27.28,28.95,29.2,-0.25,-0.8562,40579.01,116871.635,-0.02
002961.SZ,20200318,29.28,29.84,28.2,28.3,28.95,-0.65,-2.2453,37536.95,109587.77900000001,0.01
002961.SZ,20200319,28.4,29.35,28.0,29.0,28.3,0.7,2.4735,37708.95,108040.367,0.0
002961.SZ,20200320,29.23,29.5,28.73,29.2,29.0,0.2,0.6897,25064.0,73063.625,0.01
002961.SZ,20200323,28.11,28.75,27.39,27.6,29.2,-1.6,-5.4795,24172.0,68265.092,0.05
002961.SZ,20200324,28.34,28.49,27.05,28.3,27.6,0.7,2.5362,28235.32,79150.714,0.05
002961.SZ,20200325,29.05,30.0,28.8,29.4,28.3,1.1,3.8869,47543.32,140010.101,-0.02
002961.SZ,20200326,29.26,29.3,28.61,28.67,29.4,-0.73,-2.483,25425.0,73458.671,-0.03
002961.SZ,20200327,29.1,29.3,28.62,28.66,28.67,-0.01,-0.0349,22318.25,64587.572,-0.03
002961.SZ,20200330,28.1,28.3,27.3,27.98,28.66,-0.68,-2.3726,23582.0,65380.724,-0.04
002961.SZ,20200331,28.28,28.45,27.69,27.99,27.98,0.01,0.0357,16729.0,46991.615999999995,
002961.SZ,20200401,27.76,28.45,27.6,27.68,27.99,-0.31,-1.1075,20848.0,58423.08900000001,
002961.SZ,20200402,27.5,28.61,27.5,28.59,27.68,0.91,3.2876,25460.68,71433.29,
002961.SZ,20200403,28.6,28.77,28.01,28.09,28.59,-0.5,-1.7489,20922.0,59414.874,
002961.SZ,20200407,28.71,29.19,28.51,28.92,28.09,0.83,2.9548,35635.63,102861.44,
002961.SZ,20200408,28.75,29.17,28.61,29.02,28.92,0.1,0.3458,25985.9,75378.078,
002961.SZ,20200409,29.37,31.72,29.37,30.97,28.84,2.13,7.3856,125581.32,393888.08200000005,
002961.SZ,20200410,30.21,30.5,29.01,29.15,30.97,-1.82,-5.8767,75316.65,224276.68300000002,
002961.SZ,20200413,28.36,28.75,28.09,28.66,29.15,-0.49,-1.681,30652.62,87196.12800000001,
002961.SZ,20200414,29.07,29.65,28.65,29.18,28.66,0.52,1.8144,37391.0,108846.463,
002961.SZ,20200415,29.02,29.25,28.3,28.34,29.18,-0.84,-2.8787,41413.0,118845.57199999999,
002961.SZ,20200416,28.19,28.68,27.88,28.47,28.34,0.13,0.4587,26764.95,76006.797,
002961.SZ,20200417,28.7,29.14,28.5,29.08,28.47,0.61,2.1426,44025.67,127070.03,
002961.SZ,20200420,28.98,29.95,28.7,29.4,29.08,0.32,1.1004,50715.66,148538.964,
002961.SZ,20200421,29.24,29.45,28.61,29.08,29.4,-0.32,-1.0884,33147.9,95735.35800000001,
002961.SZ,20200422,28.8,29.86,28.74,29.58,29.08,0.5,1.7194,38560.95,113687.65800000001,
002961.SZ,20200423,29.6,29.68,28.64,28.69,29.58,-0.89,-3.0088,29597.95,86097.045,
002961.SZ,20200424,28.56,28.76,27.4,27.79,28.69,-0.9,-3.137,36682.9,102740.415,
002961.SZ,20200427,28.33,29.18,27.79,27.9,27.79,0.11,0.3958,34127.0,97447.98199999999,
002961.SZ,20200428,27.65,28.32,25.55,26.82,27.9,-1.08,-3.8710000000000004,38060.15,102138.161,
